time,touch_count,last_touch_delay
1489178989,2,10382
1489179004,0,25449
1489179020,0,42114
1489179036,0,58059
1489179052,0,74077
1489179068,0,90067
1489179083,0,105115
1489179099,0,121136
1489179115,0,137090
1489179131,0,153189
1489179133,0,154938
1489179133,0,154976
1489179148,0,170119
1489179164,0,185353
1489179180,0,201779
1489179195,1,10764
1489179211,0,27015
1489179227,0,43017
1489179243,0,59004
1489179259,0,75018
1489179275,0,91000
1489179291,0,107032
1489179306,0,122054
1489179321,0,137124
1489179338,0,154083
1489179354,0,170004
1489179370,0,186027
1489179385,1,265
1489179400,0,15302
1489179415,0,30353
1489179430,0,45412
1489179446,0,60479
1489179447,0,62273
1489179447,0,62315
1489179461,0,75528
1489179476,0,90581
1489179491,0,105629
1489179506,0,120702
1489179521,0,135731
1489179537,0,152224
1489179553,0,168254
1489179569,0,184222
1489179584,0,199286
1489179600,0,215270
1489179616,0,231247
1489179632,0,247231
1489179648,0,263235
1489179682,0,297248
1489179698,0,313234
1489179714,0,329250
1489179730,0,345228
1489179746,0,360542
1489179747,0,362087
1489179747,0,362141
1489179762,0,377247
1489179778,0,393260
1489179794,0,409304
1489179809,12,76
1489179824,19,6494
1489179839,2,29
1489179854,12,2564
1489179869,4,4421
1489179885,0,19454
1489179900,0,34485
1489179915,7,1667
1489179930,14,6956
1489179945,5,1487
1489179960,1,13868
1489179975,0,28896
1489179990,8,1373
1489180005,0,16399
1489180020,0,31423
1489180035,0,46445
1489180050,0,61481
1489180052,1,362
1489180052,0,399
1489180065,7,1214
1489180080,26,5482
1489180095,2,13069
1489180110,0,28116
1489180125,0,43147
1489180140,0,58173
1489180155,0,73205
1489180170,10,8508
1489180185,0,23553
1489180201,0,39431
1489180217,0,55447
1489180233,0,71399
1489180249,0,87406
1489180265,0,103422
1489180280,0,118468
1489180296,0,134406
1489180312,0,150439
1489180328,0,166377
1489180344,0,182387
1489180360,0,198388
1489180362,0,200166
1489180362,0,200206
1489180376,0,214394
1489180392,0,230402
1489180408,0,246453
1489180423,0,261499
1489180439,0,277461
1489180454,0,292509
1489180470,0,308433
1489180486,0,324392
1489180502,0,340386
1489180517,0,355459
1489180534,0,372429
1489180550,0,388403
1489180566,0,404434
1489180582,0,420413
1489180598,0,436377
1489180614,0,452380
1489180630,0,468391
1489180646,0,484410
1489180662,0,500419
1489180664,0,501942
1489180664,0,502009
1489180678,0,516426
1489180693,0,531445
1489180710,0,548438
1489180726,0,564416
1489180742,0,580399
1489180757,0,595465
1489180773,0,611392
1489180789,0,627419
1489180805,0,643439
1489180820,0,658496
1489180836,0,674445
1489180852,0,690408
1489180868,0,706429
1489180883,0,721474
1489180899,0,737407
1489180915,0,753398
1489180930,0,768419
1489180945,2,3620
1489180960,3,2503
1489180976,3,1695
1489180977,0,2682
1489180977,0,2715
1489313745,0,1183076
1489313747,0,1184624
1489313747,0,1184679
1489313761,0,1199133
1489313777,0,1215126
1489313793,0,1231121
1489313808,0,1246170
1489313824,0,1262061
1489313840,0,1278044
1489313856,0,1294035
1489313872,0,1310056
1489313888,0,1326043
1489313904,0,1342029
1489313920,0,1358044
1489313935,0,1373079
1489313952,0,1390169
1489313968,0,1406133
1489313983,0,1421283
1489314000,0,1438237
1489314016,0,1454167
1489314060,0,1498171
1489314061,0,1499321
1489314061,0,1499381
1489314076,0,1514152
1489314091,0,1529191
1489314106,0,1544207
1489314121,0,1559265
1489314137,0,1575050
1489314152,0,1590074
1489314167,0,1605114
1489314184,0,1622089
1489314200,0,1638076
1489314216,0,1654102
1489314231,0,1669132
1489314247,0,1685178
1489314264,0,1702097
1489314279,0,1717124
1489314296,0,1734117
1489314311,0,1749140
1489314327,0,1765028
1489314343,0,1781121
1489314358,0,1796160
1489314374,0,1812080
1489314382,0,1820113
1489314382,0,1820141
1489314390,0,1828070
1489314406,0,1844098
1489314421,0,1859123
1489314436,0,1874163
1489314452,0,1890075
1489314467,0,1905130
1489314482,0,1920201
1489314497,0,1935226
1489314513,0,1951051
1489314528,0,1966103
1489314543,0,1981182
1489314558,0,1996201
1489314574,0,2012085
1489314590,0,2028036
1489314606,0,2044116
1489314621,0,2059177
1489314637,0,2075137
1489314653,0,2091058
1489314670,0,2108106
1489314685,0,2123173
1489314687,0,2124809
1489314687,0,2124890
1489314701,0,2139068
1489314717,0,2155092
1489314733,0,2171116
1489314749,0,2187106
1489314765,0,2203085
1489314781,0,2219063
1489314797,0,2235096
1489314812,0,2250126
1489314827,0,2265175
1489314842,0,2280225
1489314857,0,2295278
1489314872,0,2310315
1489314888,0,2326078
1489314904,0,2342069
1489314921,0,2359039
1489314938,0,2376117
1489314954,0,2392042
1489314970,0,2408051
1489314985,0,2423085
1489315001,0,2439103
1489315003,0,2440530
1489315003,0,2440578
1489315016,0,2454131
1489315032,0,2470043
1489315047,0,2485096
1489315062,0,2500288
1489315079,0,2517123
1489315095,0,2533121
1489315110,0,2548251
1489315127,0,2565140
1489315143,0,2581112
1489315159,0,2597127
1489315175,0,2612525
1489315191,0,2629165
1489315207,0,2645132
1489315223,0,2661133
1489315239,0,2677114
1489315255,0,2693108
1489315271,0,2709116
1489315288,0,2726165
1489315304,0,2742128
1489315306,0,2743972
1489315306,0,2744027
1489276678,0,1082997
1489276694,0,1099090
1489276710,0,1114976
1489276726,0,1131054
1489276742,0,1147009
1489276757,0,1162057
1489276774,0,1179002
1489276790,0,1195030
1489276805,0,1210070
1489276821,0,1226052
1489276837,0,1242014
1489276853,0,1258034
1489276868,0,1273087
1489276884,0,1289036
1489276900,0,1305019
1489276916,0,1320992
1489276932,0,1337007
1489276948,0,1353005
1489276963,0,1368031
